ID;Nom;Référence;Catégorie;Prix de base;Quantite;Etat;Millesime;Poids;U.C.;Cont;Coul;Caractéristiques
100;AOP MEDOC CHATEAU LE BREUIL RENNAISSANCE;075004;VIGNOBLE BERARD;9,53;1000;1;2014;1,47;x 6;150 cl;RGE;annee:2014,couleur:RGE,contenant:150 cl,conditionnement:x 6
46;AOP COTES DE BLAYE CHATEAU LES BERTRANDS;028008;VIGNOBLE DUBOIS;13,5;800;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
766;VIGNERONS DE TORNAC;187011H;VIGNERONS DE TORNAC;9,26;50;0;;5,5;x 1;;;annee:,couleur:,contenant:,conditionnement:x 1
569;AOP COSTIERES DE NIMES CUVEE PRESTIGE GALLICIAN;002025;CAVE GALLICIAN;2,19;0;1;2015;1,33;x 6;75 cl;RSE;annee:2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
269;AOP COTES DU RHONE DOMAINE LACOSTE DUPUY;160004H;DOMAINE LACOSTE DU PUY;4,44;2000;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
369;AOP VOUVRAY DOMAINE DU PETIT COTEAU;209001H;DOMAINE DU PETIT COTEAU;5,39;2000;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
538;BARMIOLI PROSECCO EXTRA DRY;234001H;VIN D'ITALIE ;4,15;-22;1;2016;1,33;x 6;75 cl;BLC;annee:2016,couleur:BLC,contenant:75 cl,conditionnement:x 6
17;IGP PAYS D'OC MERLOT-CABERNET TERROIR DES CIGALES;174011;LES COTEAUX DU PIC;7,84;-1;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
245;ICE PAMPLOON BUBBLES LE ROUET;059104;LE ROUET;3,7;1988;1;2014-2015;1,33;x 6;75 cl;RSE;annee:2014-2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
344;AOP COTES DU JURA SAVAGNIN FLORAL DOMAINE GRAND;CDH-222005;DOMAINE GRAND;11,94;2000;1;2011;1,33;x 6;75 cl;BLC;annee:2011,couleur:BLC,contenant:75 cl,conditionnement:x 6
442;AOP SANCERRE DOMAINE DE ST PIERRE;080015;DOMAINE DE SAINT-PIERRE;6,7;3910;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
477;AOP BORDEAUX CHATEAU LAUDUC TRADITION;049007;CHATEAU LAUDUC ;3,35;1802;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
187;IGP MONTBAUDILE LES IV PIERRES;046025;DOMAINE D'ARCHIMBAUD;6;2970;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
281;IGP VAUCLUSE BALLADE DE COLINE;201026;CAVE LES COTEAUX DU RHONE;1,92;1898;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
382;AOP CHAMPAGNE PANNIER BRUT ROSE;CDH001005;CHAMPAGNE;20,75;5988;1;NM;1,33;x 6;75 cl;RSE;annee:NM,couleur:RSE,contenant:75 cl,conditionnement:x 6
